Br aaa
O=S1(=O)NC[CH]c2ccccc21 aiv
O=S1(=O)Nc2cccc3cccc1c23 aiw
O=S1(=O)Nc2ccccc2-c2ccccc21 aix
O=S1(=O)[CH]CCCN1 aiy
O=S1(=O)c2ccccc2-c2ccccc21 aiz
O=S1(=O)c2ccccc2Nc2nnnn21 aiA
O=S1(=O)c2ccccc2Oc2cc3cc[nH]c3cc21 aiB
O=[SH] aiC
O=[SH](=O)C(F)F aiD
O=[SH](=O)NC(F)F aiE
O=[SH](=O)O aiF
O=[SH]=O aiG
O=c1[nH]c(=O)c2c([nH]1)c(=O)nc1n2Cc2ccccc2-1 aiH
O=c1[nH]c(=O)c2cnnc2[nH]1 aiI
O=c1[nH]c(=O)c2nc3cc4[nH]cnc4cc3nc2[nH]1 aiJ
O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1 aiK
O=c1[nH]c(=O)c2ncnc2[nH]1 aiL
O=c1[nH]c(=O)c2nncn2[nH]1 aiM
O=c1[nH]c(=O)c2sc3nc4c(cc3c2[nH]1)CCCC4 aiN
O=c1[nH]c(=O)c2sc3nc4c(cc3c2[nH]1)CCCCC4 aiO
O=c1[nH]c(=O)c2sc3nc4c(cc3c2[nH]1)CO[CH]C4 aiP
O=c1[nH]c(=O)c2sc3ncc4c(c3c2[nH]1)CCC4 aiQ
O=c1[nH]c2c(c(=O)[nH]1)[CH]C=CN2 aiR
O=c1[nH]c2cc3nc[nH]c3cc2[nH]1 aiS
O=c1[nH]c2ccccc2[nH]1 aiT
O=c1[nH]c2ccccc2[nH]c1=O aiU
O=c1[nH]c2ccccc2c2cnnc12 aiV
O=c1[nH]c2ccccc2c2nccc12 aiW
O=c1[nH]c2ccccc2c2sccc12 aiX
O=c1[nH]c2ccccc2o1 aiY
O=c1[nH]c2ccccc2s1 aiZ
O=c1[nH]c2cccn2c2ccccc12 aja
O=c1[nH]cc[nH]1 ajb
O=c1[nH]ccc2ccccc12 ajc
O=c1[nH]ccc2cn[nH]c(=O)c12 ajd
O=c1[nH]ccs1 aje
O=c1[nH]cnc2c1C1(CCCC1)Cc1ccccc1-2 ajf
O=c1[nH]cnc2c1C1(CCCCC1)Cc1ccccc1-2 ajg
O=c1[nH]cnc2c1CCC2 ajh
O=c1[nH]cnc2c1CCCC2 aji
O=c1[nH]cnc2c1CNCC2 ajj
O=c1[nH]cnc2c1N[CH]CN2 ajk
O=c1[nH]cnc2c1[CH]Cc1ccccc1-2 ajl
O=c1[nH]cnc2c1oc1ccccc12 ajm
O=c1[nH]cnc2c1oc1ncc3c(c12)C[CH]OC3 ajn
O=c1[nH]cnc2ccccc12 ajo
O=c1[nH]cnc2ccsc12 ajp
O=c1[nH]cnc2cnnc12 ajq
O=c1[nH]cnc2ncccc12 ajr
O=c1[nH]cnc2ncnc12 ajs
O=c1[nH]cnc2ncncc12 ajt
O=c1[nH]cnc2nnnc12 aju
O=c1[nH]cnc2occc12 ajv
O=c1[nH]cnc2sc3c(c12)CCC3 ajw
O=c1[nH]cnc2sc3c(c12)CCCC3 ajx
O=c1[nH]cnc2sccc12 ajy
O=c1[nH]n2c(=O)c3nonc3nc2c2ccccc12 ajz
O=c1[nH]nc2c3ccccc3ncc1-2 ajA
O=c1[nH]ncc2c1nc1ccccc12 ajB
O=c1[nH]ncc2ccccc12 ajC
O=c1[nH]ncc2cncc12 ajD
O=c1[nH]ncc2cnnc12 ajE
O=c1c2c([nH]c3c1ccc1c(=O)c4c([nH]c13)CCCC4)CCCC2 ajF
O=c1c2c([nH]c3ccnn13)CCC2 ajG
O=c1c2c(nc3cc[nH]n13)CCS2 ajH
O=c1c2c(nc3ccccn13)CCNC2 ajI
O=c1c2c3c(sc2nc2n1CCCC2)CCCC3 ajJ
O=c1c2c3c(sc2nc2n1CCCC2)CCCCC3 ajK
O=c1c2ccccc2[nH]c2ccccc12 ajL
O=c1c2ccccc2n2c3ccccc3c(=O)c3cccc1c32 ajM
O=c1c2ccccc2nc2ccccc12 ajN
O=c1c2ccccc2nc2ccccn12 ajO
O=c1c2ccccc2nc2cccnn12 ajP
O=c1c2ccccc2nc2n1-c1ccccc1CCC2 ajQ
O=c1c2ccccc2nc2n1CCC2 ajR
O=c1c2ccccc2nc2n1CCCCC2 ajS
O=c1c2ccccc2nc2n1CCS2 ajT
O=c1c2ccccc2nc2sc3nc4ccccc4c(=O)n3n12 ajU
O=c1c2ccccc2nc2scnn12 ajV
O=c1c2ccccc2oc2ccc3ccccc3c12 ajW
O=c1c2ccccc2oc2ccccc12 ajX
O=c1c2ccccc2oc2ncccc12 ajY
O=c1c2ccnc2nc2ccccn12 ajZ
O=c1c2ccsc2nc2ccccn12 aka
O=c1c2ccsc2nc2cccnn12 akb
O=c1c2ccsc2nc2n1CCC2 akc
O=c1c2ccsc2nc2n1CCCCC2 akd
O=c1c2ccsc2nc2n1N=CCS2 ake
O=c1c2ccsc2nc2n1[CH]CS2 akf
O=c1c2cnccc2cc2nc3ccccc3n12 akg
O=c1c2cnccc2cc2sc3ccccc3n12 akh
O=c1c2nc3ccccc3c2nc2n1CCS2 aki
O=c1c2sccc2nc2ccccn12 akj
O=c1cc2[nH]c3ccccc3n2c(=O)[nH]1 akk
O=c1cc2[nH]ccc(=O)n2[nH]1 akl
O=c1cc2c(=O)[nH]c3ccccc3n2c(=O)n1 akm
O=c1cc2c(nn1)CCCC2 akn
O=c1cc2n(c(=O)[nH]1)CCc1ccccc1-2 ako
O=c1cc2n(c(=O)n1)CCC2 akp
O=c1cc2n3c(nn2c2c1c(=O)oc1ccccc12)CCCCC3 akq
O=c1cc2nc3ccccc3n2c2cncnc12 akr
O=c1cc[nH]c(=O)[nH]1 aks
O=c1cc[nH]c(=O)n1 akt
O=c1cc[nH]c2cc3c(cc12)OCO3 aku
O=c1cc[nH]c2ccccc12 akv
O=c1cc[nH]c2ccnn12 akw
O=c1cc[nH]c2ncnn12 akx
O=c1cc[nH]c2nncc12 aky
O=c1cc[nH]cn1 akz
O=c1cc[nH]n1 akA
O=c1ccc(=O)[nH]n1 akB
O=c1ccc1=O akC
O=c1ccc2c(=O)n3ccccc3nc2n1 akD
O=c1ccc2c(=O)nc3ccccc3c2o1 akE
O=c1ccc2c(=O)nccc2[nH]1 akF
O=c1ccc2c([nH]1)CCC2 akG
O=c1ccc2c([nH]1)CCCC2 akH
O=c1ccc2c([nH]1)Oc1n[nH]cc1[CH]2 akI
O=c1ccc2c(ccc3ccccc32)o1 akJ
O=c1ccc2c(n1)CCCC2 akK
O=c1ccc2c(nc(=O)c3ccccc32)o1 akL
O=c1ccc2cc3c(cc2o1)CCC3 akM
O=c1ccc2cc3c4c(c2o1)CCCN4CCC3 akN
O=c1ccc2cc3ccccc3cc2o1 akO
O=c1ccc2cc3ccccc3nc2o1 akP
O=c1ccc2cc3ccoc3cc2o1 akQ
O=c1ccc2ccc3c(c2o1)CNCO3 akR
O=c1ccc2cccc3c2n1CC3 akS
O=c1ccc2cccc3c2n1CCC3 akT
O=c1ccc2ccccc2[nH]1 akU
O=c1ccc2ccccc2n1 akV
O=c1ccc2ccccc2o1 akW
O=c1ccc2cccnc2n1 akX
O=c1ccc2cccoc-2c1 akY
O=c1ccc2ccncc2o1 akZ
O=c1ccc2ccsc2[nH]1 ala
O=c1ccc2cnccc-2c1 alb
O=c1ccc2cnccc2o1 alc
O=c1ccc2cnnc2o1 ald
O=c1ccc2nc3ccccc3oc-2c1 ale
O=c1cccc2[nH]c3ccccc3n12 alf
O=c1cccc2ccccn12 alg
O=c1cccc2n1CC1CNCC2C1 alh
O=c1cccc2n1NC1(CCCC1)N2 ali
O=c1cccc2nc[nH]n12 alj
O=c1cccc[nH]1 alk
O=c1ccccc2cocc12 all
O=c1ccccn1 alm
O=c1cccco1 aln
O=c1cccn[nH]1 alo
O=c1cccnn1 alp
O=c1ccn2c(n1)OCC1OC2C2O[CH]OC12 alq
O=c1ccn2c(n1)sc1ccccc12 alr
O=c1ccn2c3c(cccc13)CCC2 als
O=c1ccn2ccsc2n1 alt
O=c1ccn2cnnc2[nH]1 alu
O=c1ccn2nc3ccccc3c2n1 alv
O=c1ccn[nH]1 alw
O=c1ccnc(=O)[nH]1 alx
O=c1ccnc(=O)n1 aly
O=c1ccnc2ccccc12 alz
O=c1ccnc2ccccn12 alA
O=c1ccnc2n1CCCCC2 alB
O=c1ccnc2n1CCCS2 alC
O=c1ccnc2n1CCS2 alD
O=c1ccnc2ncccc12 alE
O=c1ccnc2ncncn12 alF
O=c1ccnc2ncnn12 alG
O=c1ccnc2sc3c(n12)CCCC3 alH
O=c1ccnc2sc3ccccc3n12 alI
O=c1ccnc2sccn12 alJ
